,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,0,adamstown,-25.066,-130.1015,293.8,84,8,10.38,PN,1696036520
1,1,pisco,-13.7,-76.2167,291.18,88,0,7.72,PE,1696036462
2,2,emerald,-23.5333,148.1667,300.01,45,0,5.41,AU,1696036520
3,3,oban,56.4127,-5.4706,284.47,84,30,2.07,GB,1696036520
4,4,east london,-33.0153,27.9116,293.4,56,100,1.9,ZA,1696036510
5,5,saipan,15.1355,145.701,304.54,66,40,2.57,MP,1696036520
6,6,mazagao,-0.115,-51.2894,301.18,73,2,2.83,BR,1696036521
7,7,albany,42.6001,-73.9662,287.49,93,100,0.45,US,1696036519
8,8,i-n-salah,27.1935,2.4607,301.59,28,0,11.19,DZ,1696036521
9,9,port-aux-francais,-49.35,70.2167,274.06,69,48,17.96,TF,1696036521
10,10,amungan,15.3652,119.9582,301.98,76,100,0.63,PH,1696036521
11,11,belmonte,-15.8631,-38.8828,296.79,82,80,5.76,BR,1696036521
12,12,vilyuysk,63.7553,121.6247,277.96,89,100,2.85,RU,1696036521
13,13,kruisfontein,-34.0033,24.7314,286.42,82,88,5.52,ZA,1696036521
14,14,jamestown,42.097,-79.2353,288.95,93,0,3.09,US,1696036320
15,15,saudarkrokur,65.7461,-19.6394,277.08,84,95,0.78,IS,1696036522
16,16,edinburgh of the seven seas,-37.0676,-12.3116,284.13,90,100,14.98,SH,1696036522
17,17,slavgorod,52.9978,78.6449,284.44,69,100,1.14,RU,1696036522
18,18,saint david's,12.0333,-61.6667,301.84,89,20,4.63,GD,1696036522
19,19,bredasdorp,-34.5322,20.0403,290.04,57,100,8.63,ZA,1696036522
20,20,klyuchi,52.2667,79.1667,283.83,71,100,1.92,RU,1696036522
21,21,blackmans bay,-43.0167,147.3167,294.55,54,97,1.42,AU,1696036522
22,22,opuwo,-18.0607,13.84,293.09,43,96,1.83,,1696036522
23,23,sal rei,16.1833,-22.9167,299.35,86,82,4.77,CV,1696036522
24,24,tiksi,71.6872,128.8694,271.62,85,100,6.04,RU,1696036522
25,25,margaret river,-33.95,115.0667,287.78,61,100,6.23,AU,1696036523
26,26,longyearbyen,78.2186,15.6401,273.06,74,75,3.6,SJ,1696036523
27,27,ushuaia,-54.8,-68.3,283.96,37,0,5.14,AR,1696036523
28,28,guerrero negro,27.9769,-114.0611,293.54,74,0,6.97,MX,1696036523
29,29,christchurch,-43.5333,172.6333,285.05,49,20,12.35,NZ,1696036236
30,30,genhe,50.7833,121.5167,281.35,55,68,2.75,CN,1696036523
31,31,dykan'ka,49.825,34.5279,286.77,50,5,1.84,UA,1696036523
32,32,hawaiian paradise park,19.5933,-154.9731,301.88,75,40,4.12,US,1696036353
33,33,grytviken,-54.2811,-36.5092,272.61,90,43,3.91,GS,1696036523
34,34,bethel,41.3712,-73.414,287.56,89,100,3.09,US,1696036524
35,35,isafjordur,66.0755,-23.124,276.73,90,97,2.21,IS,1696036524
36,36,waitangi,-43.9535,-176.5597,284.72,77,100,4.02,NZ,1696036524
37,37,orapa,-21.2833,25.3667,292.68,70,0,4.42,BW,1696036524
38,38,mount gambier,-37.8333,140.7667,296.97,35,100,5.04,AU,1696036524
39,39,papatowai,-46.5619,169.4708,281.45,73,94,8.73,NZ,1696036524
40,40,port mathurin,-19.6833,63.4167,296.34,63,100,7.86,MU,1696036524
41,41,northam,51.0333,-4.2167,286.29,94,100,2.72,GB,1696036524
42,42,port elizabeth,-33.918,25.5701,289.31,67,0,4.12,ZA,1696036524
43,43,kuta,-8.7233,115.1723,300.12,83,20,2.24,ID,1696036525
44,44,ejura,7.3856,-1.3562,296.17,94,92,1.71,GH,1696036525
45,45,mejit,10.2753,170.8646,300.93,80,100,5.71,MH,1696036525
46,46,atafu village,-8.5421,-172.5159,301.89,70,64,3.85,TK,1696036525
47,47,iqaluit,63.7506,-68.5145,275.0,87,100,7.72,CA,1696036525
48,48,salekhard,66.53,66.6019,272.14,79,100,3.03,RU,1696036525
49,49,saint-pierre,-21.3393,55.4781,294.02,64,0,2.57,RE,1696036525
50,50,la ronge,55.1001,-105.2842,283.29,87,100,3.09,CA,1696036525
51,51,khandyga,62.6667,135.6,276.85,37,74,2.08,RU,1696036525
52,52,fonte boa,-2.4959,-66.2662,303.28,53,100,1.01,BR,1696036526
53,53,yellowknife,62.456,-114.3525,279.49,81,22,1.79,CA,1696036141
54,54,labrador city,52.9463,-66.9114,282.66,60,0,1.45,CA,1696036526
55,55,narasingapuram,13.6167,79.3333,298.53,75,100,1.85,IN,1696036526
56,56,stanley,54.868,-1.6985,283.59,93,0,4.63,GB,1696036526
57,57,hithadhoo,-0.6,73.0833,300.92,78,50,6.43,MV,1696036526
58,58,viveiro,43.6623,-7.5934,292.1,90,2,2.27,ES,1696036526
59,59,lazaro cardenas,17.9583,-102.2,302.02,81,13,3.13,MX,1696036526
60,60,thompson,55.7435,-97.8558,281.24,93,75,0.0,CA,1696036526
61,61,qaqortoq,60.7167,-46.0333,275.87,72,5,2.41,GL,1696036527
62,62,forster,-32.1667,152.5167,298.31,62,0,4.31,AU,1696036513
63,63,ezine,39.7856,26.3408,290.3,70,28,1.99,TR,1696036527
64,64,bassar,9.25,0.7833,295.84,89,100,1.18,TG,1696036527
