City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,taoudenni,22.6783,-3.9836,32.93,17,5,7.92,ML,1696299256
1,olonkinbyen,70.9221,-8.7187,2.88,84,77,7.18,SJ,1696299216
2,port-aux-francais,-49.35,70.2167,2.33,76,75,15.36,TF,1696299210
3,road town,18.4167,-64.6167,29.05,84,75,3.09,VG,1696299166
4,waitangi,-43.9535,-176.5597,8.23,93,100,6.71,NZ,1696299211
5,ribeira grande,38.5167,-28.7,18.21,80,0,4.02,PT,1696299231
6,iqaluit,63.7506,-68.5145,2.61,86,100,4.92,CA,1696299015
7,aasiaat,68.7098,-52.8699,-8.81,80,3,4.24,GL,1696299209
8,stanley,54.868,-1.6985,8.77,92,20,2.06,GB,1696298925
9,konarka,19.9,86.1167,28.22,89,100,4.16,IN,1696299698
10,kapuskasing,49.4169,-82.4331,21.0,68,89,5.66,CA,1696299063
11,ushuaia,-54.8,-68.3,5.81,70,40,4.12,AR,1696299216
12,adamstown,-25.066,-130.1015,20.42,73,15,9.6,PN,1696299209
13,bredasdorp,-34.5322,20.0403,12.33,92,0,2.29,ZA,1696299212
14,hailin,44.5833,129.4167,15.1,55,33,2.39,CN,1696299699
15,capinota,-17.7167,-66.2333,22.67,57,8,2.68,BO,1696299699
16,port mathurin,-19.6833,63.4167,23.58,80,15,7.09,MU,1696299699
17,bellevue,47.6104,-122.2007,14.71,94,100,2.06,US,1696299500
18,puerto ayora,-0.7393,-90.3518,23.08,98,80,3.58,EC,1696299699
19,puerto natales,-51.7236,-72.4875,2.91,96,100,1.87,CL,1696299699
20,edinburgh of the seven seas,-37.0676,-12.3116,10.01,57,81,9.74,SH,1696299699
21,sandnessjoen,66.0217,12.6316,7.29,85,100,8.93,NO,1696299699
22,albany,42.6001,-73.9662,14.8,87,15,1.24,US,1696299699
23,west island,-12.1568,96.8225,26.99,65,75,6.69,CC,1696299699
24,whitehorse,60.7161,-135.0538,10.43,65,75,5.66,CA,1696299700
25,college,64.8569,-147.8028,4.48,65,40,3.6,US,1696299700
26,grytviken,-54.2811,-36.5092,1.45,61,97,4.88,GS,1696299700
27,praia,14.9215,-23.5087,25.3,88,20,3.09,CV,1696299700
28,poronaysk,49.2167,143.1167,10.72,90,100,9.13,RU,1696299700
29,swakopmund,-22.6833,14.5333,12.77,89,6,2.24,NA,1696299700
30,petropavlovsk-kamchatsky,53.0452,158.6483,8.03,88,75,6.71,RU,1696299700
31,aqadyr,48.2553,72.8483,6.39,87,45,3.43,KZ,1696299700
32,longyearbyen,78.2186,15.6401,-3.09,74,75,6.69,SJ,1696299700
33,skive,56.5667,9.0333,13.29,92,100,0.45,DK,1696299700
34,kingston,17.997,-76.7936,27.53,93,20,2.06,JM,1696299408
35,udachny,66.4167,112.4,-3.64,73,74,3.61,RU,1696299108
36,bilibino,68.0546,166.4372,-5.02,92,98,0.71,RU,1696299216
37,lulea,65.5842,22.1547,5.04,100,100,1.03,SE,1696299701
38,dawson creek,55.7666,-120.2362,10.8,46,0,3.6,CA,1696299701
39,kruisfontein,-34.0033,24.7314,17.59,39,0,3.41,ZA,1696299222
40,cockburn town,21.4612,-71.1419,28.62,76,49,6.19,TC,1696299382
41,dondo,-19.6094,34.7431,18.88,72,10,2.15,MZ,1696299701
42,sultanah,24.4926,39.5857,32.25,25,0,2.57,SA,1696299701
43,visby,57.6409,18.296,15.12,94,100,3.6,SE,1696299660
44,hithadhoo,-0.6,73.0833,27.73,74,69,5.26,MV,1696299216
45,ghat,24.9647,10.1728,25.77,38,0,1.53,LY,1696299702
46,island harbour,50.724,-1.2758,14.43,89,100,1.79,GB,1696299702
47,fisterra,42.9049,-9.2629,18.19,85,98,5.02,ES,1696299245
48,tarawa,1.419,172.984,32.05,70,40,3.09,KI,1696299237
49,ocampo,21.65,-101.5,17.04,69,96,6.99,MX,1696299702
50,metlili chaamba,32.2667,3.6333,20.52,52,0,2.57,DZ,1696299702
51,yellowknife,62.456,-114.3525,9.67,98,85,0.45,CA,1696298978
52,takaungu,-3.6837,39.8566,24.22,87,28,5.74,KE,1696299702
53,warri,5.5167,5.75,24.92,92,100,1.48,NG,1696299702
54,georgetown,5.4112,100.3354,30.53,77,88,1.09,MY,1696299185
55,sebastian,35.1668,-94.2669,25.31,54,15,1.97,US,1696299703
56,tayoltita,24.0833,-105.9333,21.49,94,1,1.09,MX,1696299703
57,san antonio de pale,-1.4014,5.6325,25.43,84,100,5.38,GQ,1696299213
58,saldanha,-33.0117,17.9442,15.1,89,0,7.94,ZA,1696299258
59,kinchil,20.9167,-89.95,29.47,85,95,2.26,MX,1696299703
60,feira nova,-7.9508,-35.3892,20.19,90,3,0.88,BR,1696299703
61,gandajika,-6.75,23.95,21.49,80,12,2.09,CD,1696299404
62,queenstown,-31.8976,26.8753,17.07,40,0,2.52,ZA,1696298985
63,cabedelo,-6.9811,-34.8339,23.37,76,22,4.62,BR,1696299236
64,geraldton,-28.7667,114.6,20.23,40,71,7.2,AU,1696299055
65,invercargill,-46.4,168.35,16.12,48,5,2.68,NZ,1696299070
66,wailua homesteads,22.0669,-159.378,28.24,78,40,4.63,US,1696299063
67,anadyr,64.75,177.4833,4.28,60,0,6.0,RU,1696299213
